endereco;valor;area;quartos;vagas;banheiros;pagina
Rua Júlio de Castilhos - Copacabana, Rio de Janeiro - RJ;2400.0;38;1;0;1;6
Leblon, Rio de Janeiro - RJ;5000.0;50;1;0;1;6
Rua José Bonifácio, 685 - Todos os Santos, Rio de Janeiro - RJ;1300.0;41;1;1;1;6
Estrada dos Três Rios, 830 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ;1600.0;39;1;1;1;6
Avenida Vicente de Carvalho, 995 - Vila da Penha, Rio de Janeiro - RJ;700.0;50;1;0;1;6
Rua Lópes Quintas, 243 - Jardim Botânico, Rio de Janeiro - RJ;2000.0;25;1;0;1;6
Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ;2900.0;66;1;1;1;6
Rua Brasiléia, 133 - Braz de Pina, Rio de Janeiro - RJ;750.0;60;1;0;1;6
Avenida das Américas, 19992 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ;1500.0;32;1;1;1;6
Rua Barão de Iguatemi, 288 - Praça da Bandeira, Rio de Janeiro - RJ;990.0;70;1;0;1;6
Rua Senador Vergueiro - Flamengo, Rio de Janeiro - RJ;3500.0;50;1;0;1;6
Rua Barata Ribeiro, 463 - Copacabana, Rio de Janeiro - RJ;950.0;20;1;0;1;6
Rua Professor Azevedo Marques - Leblon, Rio de Janeiro - RJ;4000.0;55;1;1;1;6
Rua Santa Clara, 212 - Copacabana, Rio de Janeiro - RJ;3750.0;62;1;1;1;6
Avenida Cláudio Besserman Vianna, 3 - Jacarepaguá, Rio de Janeiro - RJ;1800.0;48;1;1;1;6
Rua São Clemente, 10 - Botafogo, Rio de Janeiro - RJ;2300.0;48;1;0;1;6
Rua Bento Lisboa, 161 - Flamengo, Rio de Janeiro - RJ;200.0;34;1;0;1;6
Avenida Carlos Meziano, 337 - Ilha do Governador, Rio de Janeiro - RJ;1200.0;35;1;1;1;6
Copacabana, Rio de Janeiro - RJ;1700.0;38;1;0;1;6
Avenida Nossa Senhora de Copacabana - Copacabana, Rio de Janeiro - RJ;2000.0;40;1;0;1;6
Rua Piragibe Frota Aguiar - Copacabana, Rio de Janeiro - RJ;2500.0;52;1;0;1;6
Rua Maxwell, 114 - Vila Isabel, Rio de Janeiro - RJ;1300.0;46;1;0;1;6
Rua Senador Vergueiro, 210 - Flamengo, Rio de Janeiro - RJ;2200.0;30;1;0;1;7
Rua Sousa Dantas, 21 - São Francisco Xavier, Rio de Janeiro - RJ;1250.0;33;1;0;1;7
Tijuca, Rio de Janeiro - RJ;1500.0;50;1;0;1;7
Ipanema, Rio de Janeiro - RJ;8500.0;122;1;1;3;7
Copacabana, Rio de Janeiro - RJ;1200.0;30;1;0;1;7
Rua Gonçalves dos Santos, 63 - Penha, Rio de Janeiro - RJ;900.0;30;1;0;1;7
